epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,457.866,0.95654,0.93117,1.35612,0.53058,0.80523,0.74867,0.51585,1.19229,1.13859,1.73449,0.000755,0.000755,0.000755
48,533.202,0.90761,0.83405,1.3189,0.51016,0.80445,0.69693,0.47096,1.23806,1.08863,1.7402,0.000668375,0.000668375,0.000668375
33,371.214,0.99626,0.99343,1.3773,0.50932,0.76028,0.65355,0.43851,1.2277,1.21691,1.71979,0.000854,0.000854,0.000854
26,296.036,1.0438,1.08528,1.41551,0.50304,0.7105,0.56335,0.34369,1.31324,1.55427,1.81244,0.000940625,0.000940625,0.000940625
35,391.971,0.97837,0.96225,1.36839,0.46845,0.81561,0.68736,0.47355,1.22312,1.15678,1.71227,0.00082925,0.00082925,0.00082925
44,490.791,0.96665,0.92037,1.34742,0.46798,0.82691,0.69799,0.46352,1.25091,1.20314,1.74922,0.000717875,0.000717875,0.000717875
31,349.433,0.99934,1.02832,1.38282,0.45934,0.74535,0.67133,0.4345,1.31187,1.39644,1.86824,0.00087875,0.00087875,0.00087875
28,317.367,1.01219,1.07041,1.39965,0.44211,0.80233,0.60348,0.41103,1.20278,1.35072,1.73728,0.000915875,0.000915875,0.000915875
39,435.919,0.96202,0.93256,1.35248,0.42113,0.81173,0.70142,0.4897,1.20554,1.22291,1.7373,0.00077975,0.00077975,0.00077975
37,414.182,0.98179,0.96758,1.37694,0.41766,0.74344,0.64036,0.41131,1.25473,1.36985,1.78604,0.0008045,0.0008045,0.0008045
29,327.621,1.04383,1.04698,1.40612,0.41709,0.85756,0.6067,0.40894,1.20393,1.28773,1.68668,0.0009035,0.0009035,0.0009035
30,338.534,0.992,1.03607,1.37074,0.4079,0.8184,0.51458,0.34478,1.22273,1.31997,1.72702,0.000891125,0.000891125,0.000891125
22,253.416,1.10591,1.15751,1.45124,0.40263,0.80045,0.56073,0.36863,1.2657,1.42409,1.79672,0.000990125,0.000990125,0.000990125
34,381.652,1.00819,1.00231,1.38895,0.3996,0.85381,0.6971,0.48028,1.21518,1.33189,1.7401,0.000841625,0.000841625,0.000841625
43,479.96,0.94401,0.92045,1.33258,0.39302,0.76477,0.66195,0.46072,1.19843,1.54796,1.73274,0.00073025,0.00073025,0.00073025
16,188.03,1.08321,1.24022,1.45541,0.39197,0.77558,0.53597,0.33963,1.28346,1.54568,1.76475,0.00106437,0.00106437,0.00106437
32,360.284,0.99212,0.99425,1.38043,0.38838,0.81335,0.64532,0.4259,1.32164,1.37164,1.87247,0.000866375,0.000866375,0.000866375
21,242.545,1.08256,1.21219,1.42973,0.38203,0.8407,0.54258,0.34948,1.25679,1.48574,1.75499,0.0010025,0.0010025,0.0010025
11,133.376,1.17012,1.48129,1.5177,0.36246,0.70283,0.3797,0.22055,1.40914,1.6855,1.92705,0.00112625,0.00112625,0.00112625
23,263.309,1.06528,1.13852,1.43933,0.35868,0.80408,0.5161,0.34292,1.27608,1.6924,1.83147,0.00097775,0.00097775,0.00097775
27,306.758,1.01062,1.03709,1.3957,0.34895,0.80778,0.49689,0.32179,1.22571,1.38981,1.72976,0.00092825,0.00092825,0.00092825
24,274.139,1.039,1.12015,1.42006,0.33077,0.82316,0.55166,0.3464,1.39885,1.56413,1.86514,0.000965375,0.000965375,0.000965375
25,285.151,1.04341,1.08643,1.41874,0.32932,0.84937,0.54058,0.34247,1.375,1.54294,1.85412,0.000953,0.000953,0.000953
7,90.2672,1.19943,1.69921,1.56061,0.32707,0.47953,0.2699,0.12506,1.90631,2.65828,2.39659,0.00117575,0.00117575,0.00117575
14,166.255,1.08818,1.30678,1.45498,0.32544,0.90068,0.51975,0.32842,1.33553,1.56528,1.83991,0.00108913,0.00108913,0.00108913
19,219.585,1.07251,1.25555,1.44459,0.32098,0.81396,0.44615,0.28489,1.29444,1.47769,1.76098,0.00102725,0.00102725,0.00102725
4,58.4884,1.24055,2.07067,1.59481,0.32083,0.47225,0.24586,0.12456,1.65238,2.86365,2.36168,0.00121287,0.00121287,0.00121287
12,144.242,1.13579,1.44014,1.50178,0.31867,0.84709,0.39347,0.23627,1.35613,1.64792,1.88014,0.00111388,0.00111388,0.00111388
8,101.346,1.19705,1.64645,1.5581,0.31848,0.49722,0.22101,0.09034,2.03698,2.80897,2.86009,0.00116337,0.00116337,0.00116337
20,230.573,1.04211,1.18643,1.43316,0.31694,0.89445,0.48789,0.32171,1.2384,1.55961,1.7222,0.00101488,0.00101488,0.00101488
15,177.209,1.10555,1.2581,1.49106,0.3152,0.80632,0.4321,0.25105,1.42674,1.70268,1.95066,0.00107675,0.00107675,0.00107675
13,155.217,1.09922,1.35157,1.46083,0.31456,0.8897,0.41403,0.26523,1.27079,1.5579,1.80423,0.0011015,0.0011015,0.0011015
10,123.38,1.16605,1.50668,1.51175,0.30922,0.79497,0.41914,0.24889,1.35871,1.94566,1.9115,0.00113863,0.00113863,0.00113863
17,197.948,1.09457,1.2454,1.45593,0.3074,0.82258,0.49933,0.31351,1.28424,1.64185,1.83201,0.001052,0.001052,0.001052
18,208.64,1.08581,1.22844,1.46316,0.29869,0.78062,0.49359,0.30443,1.31762,1.81572,1.81944,0.00103962,0.00103962,0.00103962
9,112.366,1.1796,1.58743,1.52182,0.28056,0.7625,0.38025,0.21216,1.53836,1.77453,2.15907,0.001151,0.001151,0.001151
6,79.2368,1.18649,1.75007,1.5382,0.22283,0.62231,0.26855,0.13627,1.71635,2.27273,2.17477,0.00118812,0.00118812,0.00118812
5,68.3118,1.23355,1.88704,1.60996,0.19565,0.2777,0.14818,0.0775,1.85643,2.97916,2.40033,0.0012005,0.0012005,0.0012005
3,47.5635,1.25945,2.19867,1.64008,0.17595,0.31702,0.12015,0.06301,1.87307,3.44177,2.63577,0.00121358,0.00121358,0.00121358
1,24.4998,1.58927,3.48184,2.02957,0.00914,0.92839,0.2555,0.13525,1.3053,3.55729,2.04955,0.000404762,0.000404762,0.000404762
2,36.6278,1.31053,2.59968,1.68968,0.00775,0.95291,0.24304,0.12713,1.44523,3.28794,1.96305,0.000813296,0.000813296,0.000813296
